ra;fase;turma;nome_anonimizado;idade_aprox;genero;ano_ingresso;instituicao_de_ensino;pedra;inde;iaa;ieg;ips;ida;mat;por;ing;ipv;ian;fase_ideal;defasagem;ano_coleta;ipp;ativo_inativo
RA-1;7;A;Aluno-1;19;Feminino;2016;Pública;Quartzo;5,78;8,3;4,1;5,6;4;2,7;3,5;6;7,28;5;8;-1;2022;;Ativo
RA-2;7;A;Aluno-2;17;Feminino;2017;Privada;Ametista;7,06;8,8;5,2;6,3;6,8;6,3;4,5;9,7;6,78;10;7;0;2022;;Ativo
RA-3;7;A;Aluno-3;17;Feminino;2016;Privada;Ágata;6,59;0;7,9;5,6;5,6;5,8;4;6,9;7,56;10;7;0;2022;;Ativo
RA-4;7;A;Aluno-4;17;Masculino;2017;Privada;Quartzo;5,95;8,8;4,5;5,6;5;2,8;3,5;8,7;5,28;10;7;0;2022;;Ativo
RA-5;7;A;Aluno-5;17;Feminino;2016;Privada;Ametista;7,43;7,9;8,6;5,6;5,2;7;2,9;5,7;7,39;10;7;0;2022;;Ativo
RA-6;7;A;Aluno-6;18;Feminino;2021;Pública;Quartzo;5,85;7,9;4,5;7,5;3,3;2,3;5,3;2,3;7,22;5;8;-1;2022;;Ativo
RA-7;7;A;Aluno-7;18;Masculino;2017;Privada;Ágata;6,82;0;8,4;7,5;7,6;8,2;5,7;9;7,67;5;8;-1;2022;;Ativo
RA-8;7;A;Aluno-8;20;Feminino;2018;Pública;Quartzo;4,79;7,1;4,6;6,3;1,6;1,2;0,7;2,9;6,28;5;8;-1;2022;;Ativo
RA-9;7;A;Aluno-9;18;Feminino;2019;Pública;Topázio;8,11;8,8;9,5;7,5;6,7;5,5;6;8,7;9,5;5;8;-1;2022;;Ativo
RA-10;7;A;Aluno-10;18;Feminino;2021;Pública;Quartzo;5,78;8,3;5,2;5;4,1;3,3;2,6;6,4;7,06;5;8;-1;2022;;Ativo
RA-11;7;A;Aluno-11;18;Feminino;2016;Pública;Quartzo;5,32;9,2;4,2;5;3;1,8;2,5;4,5;6,39;5;8;-1;2022;;Ativo
RA-12;7;A;Aluno-12;17;Feminino;2020;Pública;Quartzo;4,83;0;4;6,9;1,5;2,7;1,1;0,7;6,39;10;7;0;2022;;Ativo
RA-13;7;A;Aluno-13;18;Masculino;2016;Pública;Ágata;6,9;7,9;7,4;7,5;4,7;3,5;5,5;5,2;8,06;5;8;-1;2022;;Ativo
RA-14;7;D;Aluno-14;21;Masculino;2022;Pública;Ágata;6,79;7,9;8,3;7,5;4;8;0;;7,75;5;8;-1;2022;;Ativo
RA-15;7;D;Aluno-15;18;Masculino;2022;Pública;Ametista;7,78;8,8;10;7,5;7,3;8;6,5;;7,29;5;8;-1;2022;;Ativo
RA-16;7;D;Aluno-16;19;Masculino;2022;Pública;Ágata;6,11;7,9;8,3;5;3,5;7;0;;6,33;5;8;-1;2022;;Ativo
RA-17;7;D;Aluno-17;20;Masculino;2022;Pública;Topázio;8,07;8,8;10;7,5;7,8;9;6,5;;8,29;5;8;-1;2022;;Ativo
RA-18;7;D;Aluno-18;19;Masculino;2022;Pública;Ametista;7,23;6,3;8,7;6,3;9;9;9;;6,88;5;8;-1;2022;;Ativo
RA-19;7;D;Aluno-19;19;Feminino;2022;Pública;Ametista;7,66;7,9;9,5;7,5;8;7;9;;7;5;8;-1;2022;;Ativo
RA-20;7;D;Aluno-20;19;Feminino;2022;Pública;Ametista;7,54;7,1;10;6,3;7,8;9;6,5;;7,17;5;8;-1;2022;;Ativo
RA-21;7;D;Aluno-21;18;Masculino;2022;Pública;Ágata;6,94;9,6;9,2;7,5;3,8;7;0,5;;7,25;5;8;-1;2022;;Ativo
RA-22;6;A;Aluno-22;17;Feminino;2019;Privada;Ametista;7,47;8,3;7,4;8,1;6,7;9;3,1;7,8;8,83;5;7;-1;2022;;Ativo
RA-23;6;A;Aluno-23;17;Masculino;2021;Pública;Ametista;7,68;8,3;8,2;8,1;6,7;7,2;4,7;8,2;8,56;5;7;-1;2022;;Ativo
RA-24;6;A;Aluno-24;17;Feminino;2021;Privada;Topázio;8,09;9,2;7,9;6,9;8,6;10;6,3;9,7;9,11;5;7;-1;2022;;Ativo
RA-25;6;A;Aluno-25;17;Feminino;2021;Pública;Ametista;7,98;8,3;8,3;8,8;6,9;9,2;3,8;7,7;9,67;5;7;-1;2022;;Ativo
RA-26;6;A;Aluno-26;17;Masculino;2022;Pública;Topázio;8,68;9,6;8,8;10;8;9,5;4,4;10;10;5;7;-1;2022;;Ativo
RA-27;6;A;Aluno-27;17;Masculino;2016;Privada;Ametista;7,12;0;7,6;8,1;8;7,7;6,3;10;9,11;5;7;-1;2022;;Ativo
RA-28;6;A;Aluno-28;17;Feminino;2019;Pública;Ágata;6,24;7,9;6,1;7,5;5;8,2;1,5;5,3;6,33;5;7;-1;2022;;Ativo
RA-29;6;A;Aluno-29;17;Masculino;2022;Pública;Quartzo;4,99;0;4;8,8;3,7;6,3;1,1;3,8;7,61;5;7;-1;2022;;Ativo
RA-30;6;A;Aluno-30;16;Feminino;2021;Pública;Ametista;7,6;8,8;6,4;7,5;7,5;8,5;4,4;9,7;7,33;10;6;0;2022;;Ativo
RA-31;6;A;Aluno-31;17;Feminino;2019;Privada;Topázio;8,84;10;9,5;9,4;8;9;5,7;9,3;10;5;7;-1;2022;;Ativo
RA-32;6;A;Aluno-32;16;Feminino;2018;Privada;Ametista;7,37;8,8;5,2;8,8;6,1;5,7;3,6;8,9;7,94;10;6;0;2022;;Ativo
RA-33;6;A;Aluno-33;17;Feminino;2020;Pública;Quartzo;4,95;0;4,6;7,5;4,8;9;1,6;3,7;6;5;7;-1;2022;;Ativo
RA-34;6;A;Aluno-34;17;Masculino;2016;Privada;Ágata;6,26;9,6;4,8;8,1;3,8;4,7;4;2,8;7,28;5;7;-1;2022;;Ativo
RA-35;6;A;Aluno-35;17;Feminino;2019;Privada;Topázio;8,96;10;9,6;9,4;8,5;9;7,1;9,3;10;5;7;-1;2022;;Ativo
RA-36;6;A;Aluno-36;17;Feminino;2019;Privada;Ametista;7,88;9,2;9;6,9;6,8;8,5;4,3;7,8;8,94;5;7;-1;2022;;Ativo
RA-37;6;A;Aluno-37;17;Feminino;2019;Privada;Quartzo;4,95;0;5,4;5;5,9;2,3;5,3;10;5,22;5;7;-1;2022;;Ativo
RA-38;6;A;Aluno-38;17;Feminino;2017;Privada;Topázio;8,52;9,2;8,9;7,5;8,6;9;7;9,7;9,83;5;7;-1;2022;;Ativo
RA-39;6;A;Aluno-39;16;Feminino;2017;Privada;Ágata;6,03;0;4,8;6,9;6,9;7,7;5,1;7,8;6,11;10;6;0;2022;;Ativo
RA-40;5;A;Aluno-40;16;Feminino;2016;Privada;Ametista;7,2;7,9;7,8;7,5;6,8;4,7;7,3;8,4;7,75;5;6;-1;2022;;Ativo
RA-41;5;A;Aluno-41;17;Masculino;2018;Pública;Quartzo;5,58;9,2;6,1;5;5,6;6,3;2,5;8;4,38;5;7;-2;2022;;Ativo
RA-42;5;A;Aluno-42;15;Masculino;2019;Privada;Ágata;6,72;8,3;7,9;5,6;4,8;3,7;4,5;6,2;6,08;10;5;0;2022;;Ativo
RA-43;5;A;Aluno-43;16;Feminino;2019;Pública;Quartzo;5,49;6,3;6,5;5,6;4,3;4;5,8;3,2;5,96;5;6;-1;2022;;Ativo
RA-44;5;A;Aluno-44;17;Feminino;2021;Pública;Quartzo;5,54;5;5,9;7,5;3;2,3;3,5;3,2;7,29;5;7;-2;2022;;Ativo
RA-45;5;A;Aluno-45;15;Feminino;2019;Privada;Ametista;7,59;7,9;8,9;5,6;6,8;6,3;5,2;8,8;7,42;10;5;0;2022;;Ativo
RA-46;5;A;Aluno-46;17;Feminino;2022;Pública;Ágata;6,05;8,8;8,4;6,3;2,1;2,8;2,8;0,7;7,08;5;7;-2;2022;;Ativo
RA-47;5;A;Aluno-47;17;Feminino;2022;Pública;Quartzo;5,68;7,9;6,3;7,5;2,1;2,5;2,2;1,5;7,04;5;7;-2;2022;;Ativo
RA-48;5;A;Aluno-48;15;Feminino;2017;Privada;Ametista;8,01;6,7;8,4;7,5;8,1;6,7;8;9,5;8,5;10;5;0;2022;;Ativo
RA-49;5;A;Aluno-49;17;Feminino;2022;Pública;Ágata;6,3;7,5;7,4;7,5;3,9;1,5;4,2;6,2;7,04;5;7;-2;2022;;Ativo
RA-50;5;A;Aluno-50;18;Feminino;2022;Pública;Ametista;7,14;7,5;8,4;7,5;7,8;6,5;7,3;9,7;7,54;2,5;8;-3;2022;;Ativo
RA-51;5;B;Aluno-51;17;Feminino;2022;Pública;Ágata;6,49;8,8;7,6;7,5;5;4,5;4,5;6;6,5;5;7;-2;2022;;Ativo
RA-52;5;B;Aluno-52;13;Masculino;2018;Privada;Ametista;7,86;9,6;8,9;7,5;6,2;3,3;6,3;8,8;7,5;10;3;2;2022;;Ativo
RA-53;5;B;Aluno-53;17;Masculino;2022;Pública;Ágata;6,72;9,2;7;7,5;7;6;8;;6,46;5;7;-2;2022;;Ativo
RA-54;5;B;Aluno-54;16;Feminino;2022;Pública;Ágata;6,06;7,9;6,9;7,5;4,8;3;6,5;;6,12;5;6;-1;2022;;Ativo
RA-55;5;B;Aluno-55;16;Feminino;2017;Pública;Ágata;6,58;7,1;7,6;5,6;7,5;6,7;7,8;7,9;6,5;5;6;-1;2022;;Ativo
RA-56;5;B;Aluno-56;15;Feminino;2019;Privada;Topázio;8,4;10;10;7,5;7;4,5;6,5;10;8,25;10;5;0;2022;;Ativo
RA-57;5;B;Aluno-57;16;Masculino;2017;Privada;Ametista;7,3;7,1;8,1;5,6;8,4;9;7;9,3;7,88;5;6;-1;2022;;Ativo
RA-58;5;B;Aluno-58;15;Masculino;2017;Privada;Topázio;8,14;9,6;9,2;6,3;7,2;4,5;8;9;8,12;10;5;0;2022;;Ativo
RA-59;5;B;Aluno-59;17;Masculino;2022;Pública;Ametista;7,64;9,2;9,3;7,5;7,2;7;5,7;8,8;7,92;5;7;-2;2022;;Ativo
RA-60;5;B;Aluno-60;18;Feminino;2021;Pública;Quartzo;5,54;6,7;6;7,5;4,9;5;6,2;3,5;6,17;2,5;8;-3;2022;;Ativo
RA-61;5;B;Aluno-61;15;Masculino;2021;Pública;Ametista;7,53;9,2;7,4;7,5;5,8;1,7;6,3;9,3;7,88;10;5;0;2022;;Ativo
RA-62;5;B;Aluno-62;17;Masculino;2022;Pública;Ametista;7,89;8,8;9,4;7,5;9,3;8,5;10;;7,25;5;7;-2;2022;;Ativo
RA-63;5;B;Aluno-63;16;Masculino;2018;Privada;Topázio;8,28;8,3;9,1;8,8;8,7;8,2;8,2;9,7;9,42;5;6;-1;2022;;Ativo
RA-64;5;B;Aluno-64;16;Masculino;2019;Pública;Ametista;7,37;7,1;8,1;8,1;7,5;4,8;8,2;9,4;8,25;5;6;-1;2022;;Ativo
RA-65;5;B;Aluno-65;17;Feminino;2022;Pública;Ametista;7,71;8,3;7,7;7,5;9,3;9;9,5;9,5;7,88;5;7;-2;2022;;Ativo
RA-66;5;B;Aluno-66;17;Feminino;2022;Pública;Quartzo;5,66;7,5;5,6;7,5;4,5;3;6;;5,92;5;7;-2;2022;;Ativo
RA-67;5;C;Aluno-67;16;Feminino;2019;Pública;Quartzo;5,2;5,8;3;7,5;3,6;3;4,2;3,5;6,89;5;6;-1;2022;;Ativo
RA-68;5;C;Aluno-68;16;Masculino;2019;Pública;Ágata;6,44;8,3;6;7,5;4;4,7;4,8;2,7;7,94;5;6;-1;2022;;Ativo
RA-69;5;C;Aluno-69;16;Masculino;2018;Pública;Quartzo;5,72;8,3;6,1;7,5;2,5;4,7;2,6;0,3;6,17;5;6;-1;2022;;Ativo
RA-70;5;C;Aluno-70;16;Feminino;2017;Pública;Quartzo;5,71;8,8;6,6;5;2,9;5,7;2,9;0,2;6,11;5;6;-1;2022;;Ativo
RA-71;5;C;Aluno-71;17;Feminino;2019;Pública;Quartzo;4,33;7,9;2;7,5;1,2;1,3;2,2;;5,83;5;7;-2;2022;;Ativo
RA-72;5;C;Aluno-72;17;Feminino;2022;Pública;Ametista;7,64;8,3;7,5;7,5;7,8;7,5;7,8;8;8,67;5;7;-2;2022;;Ativo
RA-73;5;C;Aluno-73;17;Feminino;2022;Pública;Quartzo;5,27;7,1;3;7,5;3,3;4,5;3;2,3;7,28;5;7;-2;2022;;Ativo
RA-74;5;C;Aluno-74;16;Masculino;2022;Pública;Quartzo;4,99;9,6;3,3;7,5;2;6;0;;5,83;5;6;-1;2022;;Ativo
RA-75;5;F;Aluno-75;16;Feminino;2022;Pública;Quartzo;3,92;5,4;3,8;6,3;0;0;0;;4,62;5;6;-1;2022;;Ativo
RA-76;5;F;Aluno-76;15;Feminino;2017;Privada;Topázio;9,1;10;9,1;8,1;8,7;9,3;8,3;8,4;9,29;10;5;0;2022;;Ativo
RA-77;5;F;Aluno-77;16;Masculino;2019;Pública;Quartzo;3,85;7,1;2,7;5;0,7;0,3;1,8;;4,62;5;6;-1;2022;;Ativo
RA-78;5;F;Aluno-78;17;Masculino;2018;Privada;Ametista;7,04;8,3;6,6;5,6;7,2;8,7;5,7;7,3;8;5;7;-2;2022;;Ativo
RA-79;5;F;Aluno-79;16;Feminino;2018;Privada;Ágata;6,85;5,4;6,3;5,6;8,9;9,5;7,7;9,5;7,29;5;6;-1;2022;;Ativo
RA-80;5;K;Aluno-80;16;Feminino;2017;Privada;Ametista;7,29;9,2;8,3;5;7,1;6,5;7,7;7,3;7,62;5;6;-1;2022;;Ativo
RA-81;5;K;Aluno-81;14;Feminino;2017;Privada;Ametista;7,68;9,2;9,2;5;6;5,5;5,2;7,3;7,46;10;4;1;2022;;Ativo
RA-82;5;K;Aluno-82;17;Feminino;2022;Pública;Ágata;6,6;8,8;6,8;7,5;5,5;6;5;;6,42;5;7;-2;2022;;Ativo
RA-83;5;K;Aluno-83;17;Feminino;2022;Pública;Ágata;6,67;7,9;6,8;7,5;6,8;6;7,5;;5,96;5;7;-2;2022;;Ativo
RA-84;5;K;Aluno-84;17;Feminino;2018;Privada;Ágata;6,68;7,1;8,8;5;5,8;5,7;6,5;5,2;6,75;5;7;-2;2022;;Ativo
RA-85;5;K;Aluno-85;15;Masculino;2022;Pública;Ágata;6,24;6,7;7,3;5;4,3;5;3,5;;5,83;10;5;0;2022;;Ativo
RA-86;5;K;Aluno-86;16;Masculino;2016;Privada;Ametista;7,57;7,5;9,6;5,6;6,7;6,2;7,2;6,9;8,46;5;6;-1;2022;;Ativo
RA-87;5;K;Aluno-87;15;Masculino;2021;Privada;Topázio;8,71;8,3;9,6;7,5;8,8;8,3;8;10;8,5;10;5;0;2022;;Ativo
RA-88;5;K;Aluno-88;17;Masculino;2021;Pública;Ametista;7,5;7,1;9,2;5,6;6,5;6,8;6,2;6,4;9,21;5;7;-2;2022;;Ativo
RA-89;5;K;Aluno-89;16;Masculino;2021;Pública;Ametista;7,32;9,6;7,8;7,5;5,9;7,5;5,7;4,7;8;5;6;-1;2022;;Ativo
RA-90;5;L;Aluno-90;13;Feminino;2019;Privada;Topázio;9,44;10;9,7;9,4;8,5;7,7;8;9,8;9,75;10;3;2;2022;;Ativo
RA-91;5;L;Aluno-91;16;Feminino;2016;Privada;Ágata;6,64;9,2;5,7;5,6;6,6;5,5;5,7;8,5;7,12;5;6;-1;2022;;Ativo
RA-92;5;L;Aluno-92;16;Feminino;2016;Privada;Ágata;6,96;9,2;7,1;5;7,4;7,8;5,5;8,8;6,67;5;6;-1;2022;;Ativo
RA-93;5;L;Aluno-93;15;Feminino;2016;Privada;Topázio;8,94;8,3;9,7;8,1;8,5;8,8;8,3;8,4;9,08;10;5;0;2022;;Ativo
RA-94;5;L;Aluno-94;15;Feminino;2018;Privada;Topázio;8,92;8,3;9,6;8,1;7,7;7;6,7;9,5;9,58;10;5;0;2022;;Ativo
RA-95;5;L;Aluno-95;17;Feminino;2022;Pública;Ágata;6,31;8,3;6,6;7,5;4,8;6;8;0,5;6,29;5;7;-2;2022;;Ativo
RA-96;5;L;Aluno-96;16;Masculino;2021;Pública;Ametista;7,54;9,2;7,8;6,9;6,7;5,7;6,5;8;8,5;5;6;-1;2022;;Ativo
RA-97;5;L;Aluno-97;15;Feminino;2017;Privada;Ametista;7,47;7,5;8,8;5;6,9;5,3;6,7;8,8;6,29;10;5;0;2022;;Ativo
RA-98;5;L;Aluno-98;15;Feminino;2017;Privada;Topázio;9,35;8,8;10;9,4;8,5;8,4;8,2;8,9;9,67;10;5;0;2022;;Ativo
RA-99;5;L;Aluno-99;16;Masculino;2019;Pública;Ágata;6,16;8,8;6,3;7,5;5;5,7;3,4;5,8;5,83;5;6;-1;2022;;Ativo
RA-100;4;A;Aluno-100;13;Feminino;2019;Privada;Ametista;7,62;8,8;7,8;5;7,6;7;7,8;8,1;7,25;10;3;1;2022;;Ativo
RA-101;4;A;Aluno-101;15;Feminino;2021;Pública;Ametista;7,3;7,9;8,3;7,5;7,6;7,2;6,5;9,2;6,83;5;5;-1;2022;;Ativo
RA-102;4;A;Aluno-102;14;Masculino;2019;Pública;Ágata;6,92;6,7;7,7;6,9;5,7;4,7;6,8;5,5;6;10;4;0;2022;;Ativo
RA-103;4;A;Aluno-103;13;Feminino;2020;Privada;Topázio;8,11;7,9;8,7;7,5;7,3;7,3;7,3;7,3;7,71;10;3;1;2022;;Ativo
RA-104;4;A;Aluno-104;18;Masculino;2022;Pública;Ágata;6,32;7,9;8,7;7,5;3,7;4,8;5,8;0,3;6,71;2,5;8;-4;2022;;Ativo
RA-105;4;A;Aluno-105;17;Masculino;2016;Privada;Ágata;6,85;7,9;8,2;5,6;6,7;7,2;6,2;6,8;7,42;2,5;7;-3;2022;;Ativo
RA-106;4;A;Aluno-106;15;Feminino;2016;Privada;Ametista;7,97;9,2;8;9,4;7,4;7,8;7,2;7,2;8,38;5;5;-1;2022;;Ativo
RA-107;4;A;Aluno-107;15;Feminino;2018;Pública;Ágata;6,26;7,5;6,4;7,5;4,6;3,3;4,3;6;6,5;5;5;-1;2022;;Ativo
RA-108;4;A;Aluno-108;17;Feminino;2019;Pública;Quartzo;5,55;4,6;7,7;5;5;3;5,8;6,2;6,12;2,5;7;-3;2022;;Ativo
RA-109;4;A;Aluno-109;16;Masculino;2021;Privada;Topázio;8,51;8,8;10;8,8;8,4;7,8;7,5;9,9;8,67;5;6;-2;2022;;Ativo
RA-110;4;A;Aluno-110;14;Masculino;2017;Privada;Topázio;8,15;9,2;9,7;5,6;6,7;8,3;5,7;6;8;10;4;0;2022;;Ativo
RA-111;4;A;Aluno-111;13;Feminino;2020;Privada;Topázio;8,65;7,5;9,4;8,1;8;6,7;7,5;9,7;8,67;10;3;1;2022;;Ativo
RA-112;4;A;Aluno-112;15;Feminino;2016;Privada;Ametista;7,84;7,9;7,8;6,3;8,5;9;7,5;9,1;8,83;5;5;-1;2022;;Ativo
RA-113;4;A;Aluno-113;15;Feminino;2017;Privada;Quartzo;3,03;0;0;5;3,7;3,3;5,5;2,3;3,79;5;5;-1;2022;;Ativo
RA-114;4;A;Aluno-114;16;Masculino;2022;Pública;Quartzo;5,89;7,9;6,3;7,5;5,3;6;4,5;;5;5;6;-2;2022;;Ativo
RA-115;4;A;Aluno-115;16;Feminino;2019;Pública;Quartzo;5,89;8,3;6,8;6,3;3,8;3;5,7;2,7;5,58;5;6;-2;2022;;Ativo
RA-116;4;B;Aluno-116;16;Feminino;2019;Pública;Ágata;6,85;5,8;8,1;6,3;5,9;5;7,2;5,5;7,79;5;6;-2;2022;;Ativo
RA-117;4;B;Aluno-117;15;Feminino;2022;Pública;Ágata;6,68;7,9;6,3;6,9;6,1;4,7;6,7;7;7,42;5;5;-1;2022;;Ativo
RA-118;4;B;Aluno-118;14;Feminino;2021;Pública;Quartzo;5,6;0;5,3;6,3;3,9;3,7;4,7;3,5;6,96;10;4;0;2022;;Ativo
RA-119;4;B;Aluno-119;14;Feminino;2016;Privada;Ametista;7,5;8,3;8,2;5,6;5,4;5,7;7;3,4;7,88;10;4;0;2022;;Ativo
RA-120;4;B;Aluno-120;15;Masculino;2019;Pública;Ágata;6,82;8,3;5,9;7,5;6,2;3,7;5,2;9,7;7,67;5;5;-1;2022;;Ativo
RA-121;4;B;Aluno-121;16;Feminino;2021;Pública;Ametista;7,24;7,1;8,4;6,3;7,2;5,7;6,8;9;7,62;5;6;-2;2022;;Ativo
RA-122;4;B;Aluno-122;14;Feminino;2019;Pública;Quartzo;5,06;7,9;3,4;7,5;1,8;1,7;3,7;;4,96;10;4;0;2022;;Ativo
RA-123;4;B;Aluno-123;16;Masculino;2017;Privada;Ametista;7,08;7,9;8,6;5,6;6,5;7,3;6,3;5,9;7,29;5;6;-2;2022;;Ativo
RA-124;4;B;Aluno-124;14;Masculino;2016;Privada;Ametista;7,39;7,9;7,8;5;6,7;5,7;7;7,5;7,17;10;4;0;2022;;Ativo
RA-125;4;B;Aluno-125;15;Feminino;2022;Pública;Ametista;7,62;8,8;8,5;7,5;7,1;5;7,2;9,2;7,75;5;5;-1;2022;;Ativo
RA-126;4;B;Aluno-126;15;Masculino;2018;Pública;Ágata;6,29;7,1;5,8;7,5;4,4;4;5;4,2;7,42;5;5;-1;2022;;Ativo
RA-127;4;B;Aluno-127;14;Feminino;2022;Pública;Topázio;8,28;7,5;8,7;7,5;7,9;7,7;7,7;8,3;8,12;10;4;0;2022;;Ativo
RA-128;4;B;Aluno-128;15;Masculino;2019;Pública;Quartzo;5,56;0;6,2;7,5;5,6;6,7;6,8;3,2;6,17;5;5;-1;2022;;Ativo
RA-129;4;B;Aluno-129;15;Masculino;2019;Pública;Ágata;6,93;6,7;6,4;7,5;6,7;6;5,3;8,7;7,79;5;5;-1;2022;;Ativo
RA-130;4;F;Aluno-130;16;Feminino;2018;Pública;Quartzo;5,62;8,3;4,7;5;4,1;3,7;5,2;3,5;6,5;5;6;-2;2022;;Ativo
RA-131;4;F;Aluno-131;15;Feminino;2016;Pública;Ametista;7,17;8,8;9;5,6;5,6;6;6,5;4,2;7,75;5;5;-1;2022;;Ativo
RA-132;4;F;Aluno-132;14;Feminino;2019;Privada;Topázio;8,36;10;8,8;5,6;7,7;6,5;7,5;9,1;8,46;10;4;0;2022;;Ativo
RA-133;4;F;Aluno-133;15;Feminino;2016;Pública;Ágata;6,88;7,9;7,1;7,5;5,6;4,7;7,2;5;7,62;5;5;-1;2022;;Ativo
RA-134;4;F;Aluno-134;15;Feminino;2021;Pública;Ágata;6,61;8,8;6,8;7,5;4,7;4,7;6,8;2,5;7,38;5;5;-1;2022;;Ativo
RA-135;4;F;Aluno-135;15;Feminino;2019;Pública;Ametista;7,69;8,3;7,8;5,6;8,6;8;8,2;9,5;8,58;5;5;-1;2022;;Ativo
RA-136;4;F;Aluno-136;15;Masculino;2019;Pública;Ágata;6,48;10;6,3;7,5;4,6;5,3;5,7;2,8;6,67;5;5;-1;2022;;Ativo
RA-137;4;F;Aluno-137;17;Feminino;2016;Privada;Ametista;7,06;7,5;8,9;5;7,3;6;7,3;8,5;7,79;2,5;7;-3;2022;;Ativo
RA-138;4;F;Aluno-138;15;Masculino;2016;Pública;Ágata;6,74;9,6;8;5,6;5,6;5;6,5;5,2;6,38;5;5;-1;2022;;Ativo
RA-139;4;F;Aluno-139;17;Masculino;2019;Pública;Quartzo;3,74;7,1;3,5;5;1,4;1,7;2,7;;3,92;2,5;7;-3;2022;;Ativo
RA-140;4;F;Aluno-140;14;Feminino;2021;Pública;Ametista;7,41;7,9;7,6;6,9;5,7;5;6,5;5,6;7,67;10;4;0;2022;;Ativo
RA-141;4;F;Aluno-141;14;Masculino;2017;Pública;Ametista;7,12;9,2;8,2;5,6;5,7;5,8;6,2;5;5,92;10;4;0;2022;;Ativo
RA-142;4;F;Aluno-142;14;Feminino;2021;Pública;Ametista;7,46;6,7;8,6;5,6;6,3;6;6,8;6;7,58;10;4;0;2022;;Ativo
RA-143;4;F;Aluno-143;13;Masculino;2019;Privada;Topázio;8,64;8,3;9,9;5,6;7,9;9,7;7,7;6,4;9,5;10;3;1;2022;;Ativo
RA-144;4;F;Aluno-144;14;Feminino;2017;Privada;Topázio;8,18;7,5;9,3;5;7,9;7,5;7,2;9;8,29;10;4;0;2022;;Ativo
RA-145;4;H;Aluno-145;16;Masculino;2017;Pública;Quartzo;5,85;0;6,3;8,1;5,2;3;4,8;7,8;7,25;5;6;-2;2022;;Ativo
RA-146;4;H;Aluno-146;15;Feminino;2022;Pública;Ametista;7,95;8,3;9,2;7,5;7,9;6,3;7,3;10;8,21;5;5;-1;2022;;Ativo
RA-147;4;H;Aluno-147;14;Feminino;2022;Pública;Ametista;7,54;8,3;7,7;7,5;6,1;5,8;4,8;7,7;7,25;10;4;0;2022;;Ativo
RA-148;4;H;Aluno-148;14;Masculino;2022;Pública;Ametista;7,89;9,2;7,9;10;5,3;4,7;6,3;5;7,71;10;4;0;2022;;Ativo
RA-149;4;H;Aluno-149;15;Feminino;2022;Pública;Ágata;6,32;9,2;6,5;7,5;5;4;6;;6,12;5;5;-1;2022;;Ativo
RA-150;4;H;Aluno-150;16;Feminino;2020;Pública;Ágata;6,96;9,6;6,3;6,9;6,9;5,3;6,7;8,6;7,33;5;6;-2;2022;;Ativo
RA-151;4;H;Aluno-151;16;Feminino;2020;Pública;Ametista;7,56;8,8;7,5;6,9;8,3;7,3;8;9,5;7,96;5;6;-2;2022;;Ativo
RA-152;4;L;Aluno-152;16;Feminino;2022;Pública;Ágata;6,71;8,3;7;7,5;6,5;4;7;8,5;6,29;5;6;-2;2022;;Ativo
RA-153;4;L;Aluno-153;14;Feminino;2018;Privada;Ametista;7,54;7,9;8,2;5;6,6;3,3;7,7;8,8;7,71;10;4;0;2022;;Ativo
RA-154;4;L;Aluno-154;15;Masculino;2017;Pública;Ágata;6,07;8,3;6,1;6,3;4;3,7;6,2;2,1;6,83;5;5;-1;2022;;Ativo
RA-155;4;L;Aluno-155;16;Masculino;2022;Pública;Ametista;7,05;10;8,3;7,5;5,2;4,3;6,8;4,3;6,83;5;6;-2;2022;;Ativo
RA-156;4;L;Aluno-156;15;Masculino;2018;Pública;Ametista;7,36;10;8,3;9,4;4,4;4,7;6,5;2,1;7,79;5;5;-1;2022;;Ativo
RA-157;4;L;Aluno-157;12;Feminino;2018;Privada;Topázio;8,32;7,5;10;6,3;7,7;7;7,5;8,7;8,29;10;3;1;2022;;Ativo
RA-158;4;L;Aluno-158;17;Feminino;2017;Privada;Ametista;7,3;7,9;9,8;5,6;6,6;5;6,7;8,1;8,12;2,5;7;-3;2022;;Ativo
RA-159;4;L;Aluno-159;15;Feminino;2021;Pública;Ágata;6,49;8,3;8,1;5,6;4,7;4,3;5,8;3,9;6,46;5;5;-1;2022;;Ativo
RA-160;4;L;Aluno-160;15;Feminino;2021;Pública;Ágata;6,75;7,5;7,2;5,6;5,3;2,7;6;7,1;8,25;5;5;-1;2022;;Ativo
RA-161;4;L;Aluno-161;11;Feminino;2018;Privada;Ametista;7,96;7,9;9,1;5,6;6,9;5,3;6,8;8,5;8,08;10;2;2;2022;;Ativo
RA-162;4;L;Aluno-162;14;Feminino;2021;Pública;Ametista;7,22;6,7;8,5;7,5;5,5;4,7;5,5;6,4;6,54;10;4;0;2022;;Ativo
RA-163;4;L;Aluno-163;15;Feminino;2021;Pública;Ágata;6,8;8,8;7,9;5,6;6,7;6,5;6,3;7,4;6,5;5;5;-1;2022;;Ativo
RA-164;4;L;Aluno-164;16;Masculino;2018;Pública;Ágata;6,78;8,3;7,3;5,6;6,5;4,7;6,5;8,3;7,21;5;6;-2;2022;;Ativo
